hs10_code,description,import_value_B,tariff_rate_pct,tariff_exposure_M,composite_risk
8517130000,SMARTPHONES,44.79,25.0,11197.49,7.52
8471300100,"PORTABLE DIGTL AUTOMATIC DATA PROCESSING MACHINES,WEIGHT NOT",35.4823,25.0,8870.58,7.52
8507600020,"LITHIUM-ION STORAGE BATTERIES, NESOI",10.8876,25.0,2721.9,7.52
9504500000,"VIDEO GAME CONSOLES AND MACHINES, OTHER THAN THOSE OF SUBHEA",9.3198,25.0,2329.94,7.52
9503000073,"TOYS, PARTS AND ACCESSORIES SUBJECT TO 15 U.S.C. 2052, LABEL",7.9494,25.0,1987.35,7.52
8517620090,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMISSION OR R",6.6823,25.0,1670.58,7.52
8528520000,"MONITORS, OF A KIND SOLELY OR PRINCIPALLY USED IN AN AUTOMAT",4.7553,25.0,1188.83,7.52
9999950000,ESTIMATED IMPORTS OF LOW VALUED TRANSACTIONS,4.6754,25.0,1168.86,7.52
8473301180,PARTS AND ACCESSORIES OF AUTOMATIC DATA PROCESSING MACHINES ,4.1179,25.0,1029.49,7.52
8518302000,"HEADPHONES & EARPHONES, WHETHER OR NOT COMBINED W/ A MICROPH",3.2747,25.0,818.69,7.52
3924104000,"TABLEWARE & KITCHENWARE,OF PLASTIC,NESOI",2.8311,25.0,707.77,7.52
3004909207,"ANTIVIRALS MIXED OR UNMIXED, EXCLUDING GOODS OF HEADING 3002",2.7366,25.0,684.15,7.52
9503000090,"TOYS, DOLLS, DOLLS' CARRIAGES, PUZZLES, SCALE MODELS, TRICYC",2.6527,25.0,663.19,7.52
3926909985,ARTICLES OF PLASTICS AND ARTICLES OF OTHER MATERIALS OF HEAD,2.6293,25.0,657.33,7.52
8507600010,LITHIUM-ION STORAGE BATTERIES OF A KIND USED AS THE PRIMARY ,2.3096,25.0,577.39,7.52
8507908000,STORAGE BATTERY PARTS (EXCEPT LEAD-ACID TYPE),2.23,25.0,557.51,7.52
9505102500,CHRISTMAS ORNAMENTS EXCEPT OF WOOD,1.9942,25.0,498.55,7.52
6307909891,"MADE UP TEXTILE ARTICLES, NESOI",1.9144,25.0,478.6,7.52
8473305100,"PARTS AND ACCESSORIES OF THE MACHINES OF HEADING 8471, NESOI",1.8082,25.0,452.06,7.52
8516790000,"ELECTROTHERMIC APPLIANCES, DOMESTIC, NESOI",1.7081,25.0,427.03,7.52
